Title,Content,Date,keywords
"The seed, the pit and the cherry","Here’s a ten minute video presentation I did forAcumen.I hope you’ll discover that the idea of forming a nucleus applies to what you’re working on as well.
","December 2, 2008","nucleus, presentation, cherry"
Gravity is just a theory,"Are you marketing gravity or evolution?
Newton gets all kinds of credit. They call it theLaw of Gravity.They put his picture on pages that profile geniuses. They say he discovered gravity. Nonsense. He just named it.
Everyone ‘believes’ in gravity. And yet, we know virtually nothing about it. We don’t know how gravity waves (if there are any) are transmitted. We can’t block them (anti gravity boots!) and we can’t amplify them and we have no idea how fast they travel. There are very few people doing serious gravity research and development, either. But it’s apparently a law.
Evolution (and one’s confidence or lack of belief thereof), on the other hand, is enough to sway a school board election or get you nominated for federal office. I’ve never met an informed person who doubted the general facts about evolution unless they had an alternative view of the origin of species that they felt emotionally connected to. There are evolution skeptics who would prefer a differentstory,but no gravity skeptics, even though there’s a lot less science there.
What’s up with that?
There are two reasons that gravity has had so much better marketing than evolution, and both may impact the way you market your product or service as well.
1. If the story of your marketing requires the prospect to abandon a previously believed story, you have a lot of work to do.
Nobody had a seriously described theory of gravity before Newton named it. No one walks around saying that they have a story about why we stick to the earth better than the gravity story. As a result, there was no existing story or worldview to overthrow.Naming something that people already believe in is very smart marketing.
2. If the timeframe of the message of your marketing is longer than the attention span (or lifetime) of the person you are marketing to, you have your work cut out for you as well.
Evolution is really slow. Hard to demonstrate it in real time during a school board meeting. Gravity is instantaneous. Baseball players use it every day.
Five years ago, if you wanted to persuade people to buy real estate as an investment it was pretty easy.
1. The existing worldview was that real estate was a pretty good investment.2. You could see, in the course of weeks or months, the price of homes going up.
Magic. Who’s in? Bid, bid, bid.
In 2002, persuading a newspaper to go all in and invest big in online media was a problem.
1. The existing worldview disagreed with this. The web could support a paper, but not replace it. ""Didn’t you see what happened during the bubble?""2. Not only couldn’t you watch the web replace existing media in real time, but it was actually retreating (according to Wall Street.)
Tough story, bad timing.
The iPhone is gravity marketing. New name and brand for something so many people had already decided they wanted. And you could see it work from across the room, you didn’t have to wait months for the joy to happen.
Persuading someone to start a blog is evolution marketing. Lots of people have been brainwashed that they have nothing to say, or can’t say it, or aren’t allowed to say it. And you rarely see someone become an overnight blogging success.
Real estate, of course, has a long row to hoe now. While there may be a long-term story to sell, it’s in conflict to a painfully learned new worldview, and it’s happening slowly. Perhaps there’s a better story to tell.
The Atkins Diet countered the prevailing story (it said that steak and butter were good diet choices) but it burned off weight so quickly the diet was able to overcome the resistance that was due to inertia. Getting people to quit smoking, on the other hand, is a multi-generational problem because the story (spread by ads and movies) is really powerful and the results of quitting take decades to measure.
Acupuncture is an interesting case. It’s possible to market acupuncture as, ""Western medicine is wrong, this works."" The problem, of course, is that any time you market a product with, ""You were wrong,"" you have a lot of work to do. It can also be marketed as ""This is a great way to supplement your ordinary medical treatments.""
Tactic 1: Try to tell a story that complements an existing story rather than calling it out as false.
Tactic 2: Try to make the ‘proof’ as vivid and immediate as possible. Like an apple falling on your head.
Big ideas often demand a marketing strategy that is a lot more difficult than marketing gravity. Sometimes results do take a long time. Sometimes the consumer has been wrong all along. Sometimes you do need to replace an existing story. I hope you will. But this takes time and patience and resources.
When in doubt, market gravity.",,"gravity, marketing, evolution"
If you could change your life,"…would you?
Getting into Stanford Business School changed my life. In college, I trained to be a mediocre engineer (I didn’t set out to be mediocre at it, but I sure was). I was on track to become Dilbert.
Getting into Stanford meant jumping the track. Going from one path to another in one fell swoop.
I didn’t learn much of substance at business school, but that’s fine, because the school allowed me to make a graceful transition. I had permission to reinvent and a platform to do it.
Which leads to this post, this track andthis opportunity. (Please read all the details at this link before jumping up and down).
I’m offering an apprenticeship/not-internship/graduate school/charm school track-changing opportunity to a few people this winter. It’s free, it’s fairly audacious and I hope you’ll check it out. It might not be for you (in fact, it probably isn’t) but I have no doubt that you know people who might be interested.
I’m convinced that there are people out there who–given the right teaching, encouragement and opportunity–can change the world. I’m hoping you can prove me right. You don’t have much time and there are only a few slots, so if you’re even flirting with this idea,check out the lens here.
Two years at business school is a lot of time (and money) to spend to change paths these days. Most people over 20 can’t afford either. I think six months might be a lot more do-able.
The beautiful conceit of Stanford during its heyday was that they recruited people who were really quite good at something, even though it might not be business. Or people who were at one level in an organization but strived to jump ahead several notches. I had a pro golfer and a teacher in my section, for example. As far as I can tell, most MBA programs have become finishing schools for commercial bankers hoping to become consultants and investment bankers (at least until recent events occurred). Thecreative achieversneed a new, faster way to jump the track. For a few, this might be it.
This is a huge commitment for the people who sign up, of course, and a big shift for me as well. So, I’m leaving myself this escape hatch: if I can’t find enough truly amazing people to take advantage of the opportunity, I’ll quietly move on and won’t do it (this time). I’m not prepared to settle, and you shouldn’t either. But, if I’m right about the caliber of restless people reading this, I’m figuring that there will be plenty of amazing people out there passionate enough to take a leap.
So, if you think you’d like to find a new track, here’s your chance. If you think you might be able to turbocharge your impact on the world, let me know. Sort of my way of repaying the admissions officer at Stanford who was crazy enough to let me in all those years ago.","December 1, 2008","Track-changing, Apprenticeship, Reinvention"
What is school for?,"Seems like a simple question, but given how much time and money we spend on it, it has a wide range of answers, many unexplored, some contradictory. I have a few thoughts about education, how we use it to market ourselves and compete, and I realized that without a common place to start, it's hard to figure out what to do.
So, a starter list. The purpose of school is to:
If you have the email address of the school board or principals, perhaps you'll forward this list to them (and I hope youarein communication with them regardless, since it's a big chunk of your future and your taxes!). Should make an interesting starting point for a discussion.","January 31, 2009","education, purpose, school"
What are you good at?,"As you consider marketing yourself for your next gig, consider the difference between process and content.
Content is domain knowledge. People you know or skills you've developed. Playing the piano or writing copy about furniture sales. A rolodex of movers in a given industry, or your ability to compute stress ratios in your head.
Domain knowledge is important, but it's (often) easily learnable.
Process, on the other hand, refers to the emotional intelligence skills you have about managing projects, visualizing success, persuading other people of your point of view, dealing with multiple priorities, etc. This stuff is insanely valuable and hard to learn. Unfortunately, it's usually overlooked by headhunters and HR folks, partly because it's hard to accredit or check off in a database.
Venture capitalists like hiring second or third time entrepreneurs because they understand process, not because they can do a spreadsheet.
As the world changes ever faster, as industries shrink and others grow, process ability is priceless. Figure out which sort of process you're world-class at and get even better at it. Then, learn the domain… that's what the internet is for.
One of the reasons that super-talented people become entrepreneurs is that they can put their process expertise to work in a world that often undervalues it.","January 30, 2009","Process, Emotional Intelligence, Domain Knowledge"
What would a professional do?,"Every day, you do a hundred or a thousand jobs, some of which are occasionally handled by specialists. You make a sales call or give a presentation or answer the phone… you design a slide or create a simple spreadsheet. You get the idea.
When you are busy being a jack of all trades, you're competing against professionals. The recipient of your work doesn't care that you are also capable of doing other things. All she wants is the best she can get.
I'll define a professional as a specialist who does industry standard work for hire. A professional presenter, for example, could give a presentation on anything, not just the topic on which you're passionate about.
When you compete with professionals, you have a problem, because generally speaking, they're better at what they do than you are.
I think there are four valid ways the think your way out of this situation:
The first option requires time and money you might not have, and I'm presuming that's why you didn't do it in the first place.
The second is a smart option, particularly if you do the work often and the quality matters. Slide design and selling are two examples that come to mind here. The first step to getting good is admitting that you aren't (yet.) Invest the time and become a pro if it's important.
The third option is worth investigation, but it's what you've probably already decided without putting words to it. Is the assumption really true? Does your customer/client/employeeactually believethat they haven't been shortchanged by your amateur performance? It is costing you in ways you're not measuring because you're willfully ignoring the consequences? Think of all the sub-pro experiences you've had as a customer, instances where someone was pretending to be a chef or a bartender or a computer jock but just came up short… Were you delighted?
The fourth option is really exciting. FrompersonalYouTubevideos to particularly poignant andhonest presentationsor direct and truesalespitches, the humility, freshness and transparency that comes with an honest performance might actually be better than what a professional could do. Harvey Milk was an amateur politician, not a pro. If you're the only person on earth who could have done what you just did, then you're a proud amateur.
You can't skate by when you refuse to mimic a professional. You must connect in a personal, lasting way that matters. That's difficult, but the professionals have no chance to compete with you.
Be an amateur on purpose, not because you have to.","January 29, 2009","professionalism, competition, authenticity"
Take the ball and go home,"Bullies can't be bullies when they are alone.
If you work with a bully, this is all you need to know. They need you.
A bully is someone who uses physical or psychological force to demean and demoralize someone else. A bully isn't challenging your ideas, or working with you to find a better outcome. A bully is playing a game, one that he or she enjoys and needs. You're welcome to play this game if it makes you happy, but for most people, it will make you miserable. So don't.
The way to work with a bully is not to try to please her or to question the quality of your work or to appease her or to hide from her.
The way to work with a bully is to take the ball and go home. First time, every time.
When there's no ball, there's no game. Bullies hate that. So they'll either behave so they can play with you or they'll go bully someone else.
Call her on her behavior (not who she is, but what she does). ""I'm sorry, but when you talk to me like that, I'm unable to do good work. I'll be in my office if you need me."" Then walk out, not in a huff, but with a measure of respect for the person (not the behavior).
This is a shocking piece of advice. It might even get you fired. But it will probably save your job and your sanity. Most bullies are deeply unhappy and you might just save their skin. If you're good at what you do, you deserve better than a bully.","January 28, 2009","bullying, workplace, boundaries"
Creativity and stretching the sweatshirt,"What does it mean to be creative?
You could watch the most non-creative, linear-thinking, do-it-by-the-book cop work to solve a crime and you'd be amazed at how creative her solutions seem to be. Creative for you, because you've never been in that territory before, it's all new, it's all at the edges. Boring for her, because it's the same thing she does every time. It's not creative at all.
For me, creativity is the stuff you do at the edges.But the edges are different for everyone, and the edges change over time. If you visualize the territory you work in as an old Boston Bruins sweatshirt, realize that over time, it stretches out, it gets looser, the edges move away. Stuff that would have been creative last year isn't creative at all today, because it's not near the edges any more.
This gives you two useful tactics for problem solving:1. If you want to be creative, understand that you'll need to get to the edges, even if the edges have moved. Being creative means immediately going to the place the last person left off.
2. If you are ""not creative,"" if you are the sort of person that gets uncomfortable being creative or has been persuaded you're not capable, don't worry about it. Just stretch the sweatshirt in your spare time, watch the creative things other people have done, keep up with the state of the art. Then, when you do your ""not creative"" thing, most people will think it's pretty creative indeed.","January 27, 2009","Creativity, Problem Solving, Personal Growth"
The goals you never hear about,"Doing goal setting with friends and colleagues is always motivating and invigorating for me. You hear things ranging from, ""I want to help this village get out of poverty,"" or ""I want to double our market share,"" or ""I want to be financially independent.""
What you rarely hear is, ""I don't want to fail,"" ""I don't want to look stupid,"" or ""I don't want to make any mistakes.""
The problem is that those goals are really common, and left unsaid, they dominate. If your goal is not to be called on in class, that's a largely achievable goal, right?
Think about how often your goal at a conference or a meeting or in a project is, ""don't screw up!"" or ""don't make a fool of yourself and say the wrong thing."" These are very easy goals to achieve, of course. Just do as little as possible. The problem is that they sabotage your real goals, the achievement ones.
It's not stupid to have a stated goal of starting several ventures that will fail, or asking three stupid questions a week, or posting a blog post that the world disagrees with. If you don't have goals like this, how exactly are you going to luck into being remarkable?","January 26, 2009","Goal-setting, Fear of failure, Achievement"
Jeff Jarvis’ new book,It’s out this week. I strongly recommend yougive it a look.,"January 25, 2009","Jeff Jarvis, book release, recommendation"
